Norway,83,7217.39,5348285,Europe,
Poland,77.9,2206.54,38493600,Europe,
Portugal,81.7,3517.72,10289921,Europe,
Romania,76.5,1906.59,19524212,Europe,
Russia,73.9,1704.04,145742288,Europe,
San Marino,83,4057.16,34203,Europe,
Serbia,76.7,1686.07,7401056,Europe,
Slovakia,77.7,2267.09,5453932,Europe,
Slovenia,81.6,3629.01,2112905,Europe,
Spain,83.5,3983.93,47131372,Europe,
Sweden,83.1,6222.66,10267922,Europe,
Switzerland,83.8,8532.5,8575593,Europe,
Ukraine,74.5,907.16,44211100,Europe,
United Kingdom,81.7,5087.38,66778660,Europe,
Antigua and Barbuda,78.7,1016.47,92127,North America,
Bahamas,71.2,2227.64,404563,North America,
Barbados,77.3,1028.83,280193,North America,
Belize,73.9,445.72,389103,North America,
Canada,82.4,5520.65,37522584,North America,
Costa Rica,79.4,1636.18,5084527,North America,
Cuba,77.6,2599.49,11316699,North America,
Dominica,73.6,675.37,71446,North America,
Dominican Republic,73.6,1140.04,10881886,North America,
El Salvador,72.6,656.71,6280222,North America,
Grenada,74.9,879.51,122737,North America,
Guatemala,73.1,529.12,17106338,North America,
Haiti,64.3,143.45,11160441,North America,
Honduras,72.9,435.68,9958832,North America,
Jamaica,71.8,597.85,2813776,North America,
Mexico,74.2,1110.94,125085312,North America,
Nicaragua,74.1,474.52,6663919,North America,
Panama,77.8,2490.95,4232538,North America,
Saint Kitts and Nevis,71.6,1506.51,47739,North America,
Saint Lucia,73.4,697.71,178594,North America,
Saint Vincent and the Grenadines,72.8,620.3,104940,North America,
Trinidad and Tobago,74.2,1834.96,1519960,North America,
United States,79.1,10921.01,334319680,North America,
Argentina,77.3,2198.88,44745516,South America,
Bolivia,67.8,630.76,11777318,South America,
Brazil,75.3,1497.81,211782880,South America,
Chile,80.3,2424.15,19039484,South America,
Colombia,76.8,1204.3,50187404,South America,
Ecuador,77.3,934.52,17343742,South America,
Guyana,69.1,673.57,798761,South America,
Paraguay,73.6,950.14,6530029,South America,
Peru,76.2,711.63,32824864,South America,
Suriname,72.2,1680.19,600305,South America,
Uruguay,77.5,2309.84,3428412,South America,
Venezuela,72.2,384.5,28971686,South America,
Australia,83.1,5294.46,25357168,Oceania,
Fiji,67.9,545.31,918472,Oceania,
Kiribati,67.1,246.99,124252,Oceania,
Marshall Islands,64.7,592.61,44750,Oceania,
Micronesia (country),71.1,364.21,111392,Oceania,
Nauru,63.5,1389.73,12156,Oceania,
New Zealand,82.6,4439.35,4959033,Oceania,
Palau,64.8,2901.93,17939,Oceania,
Papua New Guinea,65.5,104.61,9542492,Oceania,
Samoa,72.2,433.19,211915,Oceania,
Solomon Islands,70.4,131.09,675000,Oceania,
Tonga,70.9,332.05,104965,Oceania,
Tuvalu,64.3,1071.3,10983,Oceania,
Vanuatu,69.9,110.64,304414,Oceania,
Low-income countries,63.3,106.05,661633048,,
Lower-middle-income countries,68.9,284.12,3326051409,,
Upper-middle-income countries,76.5,1046.2,2530546049,,
World,72.8,1458.94,7764951040,,
